,Gurgiser_avg_45,Climandes_avg_45,Garcia_avg_45,FP_avg_45,JD_avg_45,Bucket_avg_45,Liebmann_avg_45,CookBuckley_avg_45,Gurgiser_std_45,Climandes_std_45,Garcia_std_45,FP_std_45,JD_std_45,Bucket_std_45,Liebmann_std_45,CookBuckley_std_45,Gurgiser_avg_85,Climandes_avg_85,Garcia_avg_85,FP_avg_85,JD_avg_85,Bucket_avg_85,Liebmann_avg_85,CookBuckley_avg_85,Gurgiser_std_85,Climandes_std_85,Garcia_std_85,FP_std_85,JD_std_85,Bucket_std_85,Liebmann_std_85,CookBuckley_std_85
2082,97,54,45,57,52,70,77,121,44,42,29,28,32,25,33,34,87,47,42,50,54,71,79,105,40,32,26,27,22,24,33,36
2083,93,46,42,51,55,70,77,100,36,22,19,26,21,18,27,29,87,43,43,53,52,68,75,111,40,30,23,32,21,25,28,29
2084,80,45,47,50,51,71,70,110,36,23,23,30,21,26,27,29,82,46,53,47,54,70,70,106,31,24,23,24,23,20,25,26
2085,101,63,53,56,53,73,71,113,49,43,26,34,33,31,29,35,83,47,45,52,54,76,75,97,37,26,21,30,22,25,29,30
2086,81,48,43,44,51,72,68,105,33,25,26,26,23,24,30,29,91,55,46,55,56,73,83,113,43,37,29,38,32,26,34,24
2087,81,46,42,50,50,70,70,110,45,32,25,32,18,26,35,35,87,43,47,49,50,71,70,108,48,28,22,26,22,26,31,39
2088,77,43,46,43,51,70,77,94,41,25,19,25,18,22,27,23,90,51,42,54,59,73,74,106,40,36,19,26,39,27,29,27
2089,95,58,50,54,59,77,85,106,36,36,29,29,27,28,29,34,76,42,42,49,53,70,68,103,38,22,20,27,22,27,24,31
2090,91,43,45,47,48,70,71,103,34,22,24,28,19,21,26,40,88,41,47,50,49,70,72,109,42,29,25,26,25,23,27,34
2091,83,47,45,53,47,67,70,95,38,27,20,35,21,24,25,28,85,51,46,51,46,71,65,101,39,36,27,26,20,26,27,33
2092,96,56,50,49,51,76,75,107,29,36,28,29,30,24,31,29,94,53,43,49,50,72,79,107,44,31,21,26,23,23,29,28
2093,86,40,36,45,45,67,68,102,46,26,20,25,18,23,27,38,84,37,37,42,47,64,75,105,41,23,19,29,27,28,30,32
2094,71,43,44,47,54,71,75,94,35,28,19,27,24,26,24,21,79,42,47,43,49,69,77,108,38,20,18,20,17,23,28,33
2095,89,48,42,50,56,77,80,106,35,29,29,28,31,30,29,31,88,41,40,49,53,70,65,100,40,20,18,21,19,23,24,34
2096,98,49,46,48,52,68,83,110,50,35,27,34,24,33,34,32,88,59,47,49,52,72,79,103,38,39,26,25,26,23,26,29
2097,87,53,55,51,65,80,75,105,37,28,20,23,22,24,27,29,100,43,47,49,51,68,72,106,37,22,21,25,22,21,31,31
2098,89,44,47,42,48,66,72,97,38,26,25,25,22,25,32,32,84,43,42,44,50,67,69,97,47,35,30,26,25,30,30,32
2099,94,44,45,50,52,69,76,108,32,32,33,27,26,25,33,33,92,54,51,55,58,75,78,108,41,32,31,27,26,26,30,34
